37440578;ZECBTC;sell;0,05800000;0,01831900;1540820289868;1540820293907;2;0,01400000;
37440585;ZECBTC;sell;0,05800000;0,01832300;1540820297801;1540820314855;1;0,05800000;
37440701;ZECBTC;sell;0,05800000;0,01834400;1540820433482;1540820463455;1;0,05800000;
37440862;ZECBTC;sell;0,05800000;0,01834600;1540820618175;1540820659111;1;0,05800000;
37440952;ZECBTC;sell;0,05800000;0,01834500;1540820843886;1540820896991;1;0,00200000;
37441027;ZECBTC;sell;0,05800000;0,01834100;1540820977390;1540821011622;1;0,05800000;
37441206;ZECBTC;sell;0,05800000;0,01834700;1540821386749;1540821582838;2;0,00100000;
37441254;ZECBTC;sell;0,05700000;0,01834600;1540821583842;1540821618004;1;0,05700000;
37441334;ZECBTC;sell;0,05800000;0,01834500;1540821689068;1540821814671;1;0,05800000;
37441470;ZECBTC;sell;0,05800000;0,01834500;1540822003595;1540822034064;2;0,04600000;
37442125;ZECBTC;sell;0,05800000;0,01834300;1540823296403;1540823303417;1;0,05800000;
37442542;ZECBTC;sell;0,05700000;0,01845200;1540823565933;1540823806659;1;0,05700000;
37442825;ZECBTC;sell;0,05700000;0,01846600;1540823881320;0;0;0,00000000

0;ZECBTC;sell;0,22000000;0,01851879;1540824238185;1540825855547;1;0,22000000
0;ZECBTC;sell;0,00800000;0,01853707;1540824238185;1540825900440;1;0,00800000
0;ZECBTC;sell;0,04900000;0,01853356;1540825905201;1540825939161;1;0,04900000
0;ZECBTC;sell;0,00800000;0,01855210;1540825905201;1540825981421;1;0,00800000
0;ZECBTC;sell;0,04900000;0,01853057;1540825987122;1540826015474;1;0,04900000
0;ZECBTC;sell;0,00800000;0,01854960;1540825987122;1540826182914;1;0,00800000
0;ZECBTC;sell;0,04900000;0,01851650;1540826178731;1540826508537;1;0,04900000
0;ZECBTC;sell;0,05700000;0,01854787;1540826178731;1540826584299;1;0,05700000
0;ZECBTC;sell;0,00800000;0,01856588;1540826178731;1540826725700;1;0,00800000
